id,created_at,username,current_rating
76,2024-04-01 19:55:51.4348+00,moop212,"{""mu"": 14.535246170626147, ""sigma"": 7.489247568598355, ""ordinal"": 1009.620083155946}"
77,2024-04-01 19:55:51.4348+00,moerichuk,"{""mu"": 22.129175254093834, ""sigma"": 4.932262424299517, ""ordinal"": 1375.9773115486869}"
78,2024-04-01 19:55:51.4348+00,Gilzgametoo,"{""mu"": 21.97994642872561, ""sigma"": 7.352685811503212, ""ordinal"": 1198.1253358611834}"
79,2024-04-01 19:55:51.4348+00,Kölsch,"{""mu"": 32.00459807343997, ""sigma"": 5.214584089932521, ""ordinal"": 1592.6602992874177}"
80,2024-04-01 19:55:51.4348+00,Tayzer Wayne,"{""mu"": 26.287152181189, ""sigma"": 5.5826543112298666, ""ordinal"": 1428.9405419399857}"
81,2024-04-01 19:55:51.4348+00,dankynugz,"{""mu"": 27.268473452257595, ""sigma"": 7.538300188899685, ""ordinal"": 1311.685749253405}"
82,2024-04-01 19:55:51.4348+00,SuaveJ,"{""mu"": 23.15223529133241, ""sigma"": 5.3068248549656705, ""ordinal"": 1373.5622574344495}"
83,2024-04-01 19:55:51.4348+00,Dzordz,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
84,2024-04-01 19:55:51.4348+00,Tinydoge,"{""mu"": 18.987779976205633, ""sigma"": 5.506710872102481, ""ordinal"": 1259.2235366375567}"
85,2024-04-01 19:55:51.4348+00,Zottelschratz,"{""mu"": 34.720313919341145, ""sigma"": 3.734253183946172, ""ordinal"": 1764.4213048200631}"
86,2024-04-01 19:55:51.4348+00,achipinthesugar,"{""mu"": 17.533289899131265, ""sigma"": 7.637985878144529, ""ordinal"": 1070.8639743527442}"
87,2024-04-01 19:55:51.4348+00,Sid,"{""mu"": 21.57247072581728, ""sigma"": 7.985665239112678, ""ordinal"": 1142.7714002035018}"
88,2024-04-01 19:55:51.4348+00,I360,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
89,2024-04-01 19:55:51.4348+00,knuBBe,"{""mu"": 12.537470756397664, ""sigma"": 5.795903917916622, ""ordinal"": 1083.5942160635473}"
90,2024-04-01 19:55:51.4348+00,Wolftongue,"{""mu"": 13.625674912284751, ""sigma"": 7.150167055569552, ""ordinal"": 1012.2041698938262}"
91,2024-04-01 19:55:51.4348+00,Ben_Naylor,"{""mu"": 23.32487338680883, ""sigma"": 7.263284921629875, ""ordinal"": 1236.8404469260608}"
92,2024-04-01 19:55:51.4348+00,EchoPapa,"{""mu"": 32.6856318935685, ""sigma"": 3.9429814889401125, ""ordinal"": 1700.5604982419559}"
93,2024-04-01 19:55:51.4348+00,thenobleknave,"{""mu"": 25.26989526187808, ""sigma"": 4.969938950657247, ""ordinal"": 1448.6418818377522}"
94,2024-04-01 19:55:51.4348+00,beansanddice,"{""mu"": 12.25547542257746, ""sigma"": 5.742306336766822, ""ordinal"": 1080.685353894648}"
95,2024-04-01 19:55:51.4348+00,Northcreature,"{""mu"": 22.69367230886981, ""sigma"": 6.054972337968645, ""ordinal"": 1308.690127079133}"
96,2024-04-01 19:55:51.4348+00,Scuri,"{""mu"": 23.222553705570093, ""sigma"": 3.7622604423037025, ""ordinal"": 1486.4585370878158}"
97,2024-04-01 19:55:51.4348+00,krlosvzla,"{""mu"": 16.730648670181427, ""sigma"": 5.743356583061073, ""ordinal"": 1188.013894103957}"
98,2024-04-01 19:55:51.4348+00,Foster Tom,"{""mu"": 21.295548528586796, ""sigma"": 8.025316432888372, ""ordinal"": 1133.2703815181203}"
99,2024-04-01 19:55:51.4348+00,JoyDivision,"{""mu"": 37.77512155892907, ""sigma"": 2.4821513822057817, ""ordinal"": 1927.8880178954814}"
100,2024-04-01 19:55:51.4348+00,donov,"{""mu"": 23.771476146127338, ""sigma"": 6.631295155030257, ""ordinal"": 1293.0621763448776}"
101,2024-04-01 19:55:51.4348+00,FOMOF,"{""mu"": 32.566066459451214, ""sigma"": 2.7372196042426116, ""ordinal"": 1784.505783521361}"
102,2024-04-01 19:55:51.4348+00,BillyBeyond,"{""mu"": 20.02286784231684, ""sigma"": 6.926202242632471, ""ordinal"": 1181.862266746066}"
103,2024-04-01 19:55:51.4348+00,Fllyingmustang,"{""mu"": 22.5423828559053, ""sigma"": 3.613461249308333, ""ordinal"": 1480.8479785915272}"
104,2024-04-01 19:55:51.4348+00,Kalambaka,"{""mu"": 17.827646804150056, ""sigma"": 7.125710297374542, ""ordinal"": 1114.8123818886343}"
105,2024-04-01 19:55:51.4348+00,twho,"{""mu"": 27.461594785266296, ""sigma"": 7.493146821093515, ""ordinal"": 1319.571703727658}"
106,2024-04-01 19:55:51.4348+00,Woodpecker,"{""mu"": 27.366908784883574, ""sigma"": 6.001068665736597, ""ordinal"": 1424.728866904171}"
107,2024-04-01 19:55:51.4348+00,CabelReady,"{""mu"": 29.120783711159948, ""sigma"": 5.26998948994245, ""ordinal"": 1519.4595657919824}"
108,2024-04-01 19:55:51.4348+00,astenu,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
109,2024-04-01 19:55:51.4348+00,"Fylkir Tarkus ""Black Iron""","{""mu"": 16.776420191751424, ""sigma"": 5.845409535448494, ""ordinal"": 1181.7645980497425}"
110,2024-04-01 19:55:51.4348+00,MaryMark3000,"{""mu"": 23.159963717821153, ""sigma"": 7.490309907462682, ""ordinal"": 1216.5368158903946}"
111,2024-04-01 19:55:51.4348+00,Angry_Meeple,"{""mu"": 27.94070428209624, ""sigma"": 7.29028531412335, ""ordinal"": 1345.6763601534285}"
112,2024-04-01 19:55:51.4348+00,morewhales,"{""mu"": 45.99547125202436, ""sigma"": 4.594100390251181, ""ordinal"": 1973.1160819504996}"
113,2024-04-01 19:55:51.4348+00,kibitzer,"{""mu"": 25, ""sigma"": 8.333333333333334, ""ordinal"": 1200}"
114,2024-04-01 19:55:51.4348+00,Prince Ali,"{""mu"": 29.684490310453857, ""sigma"": 3.6056507778605433, ""ordinal"": 1652.8209114449335}"
115,2024-04-01 19:55:51.4348+00,WARchrst,"{""mu"": 16.278775227387623, ""sigma"": 7.1879456587017385, ""ordinal"": 1073.1585180307777}"
116,2024-04-01 19:55:51.4348+00,JoeyTyke,"{""mu"": 29.71679395093799, ""sigma"": 3.729232521363257, ""ordinal"": 1644.6983132843573}"
117,2024-04-01 19:55:51.4348+00,HistoryMystery,"{""mu"": 24.34407515129456, ""sigma"": 7.770482749881906, ""ordinal"": 1224.7830456395723}"
