game,player,ranking,updated_rating
38,86,4,"{""mu"": 17.533289899131265, ""sigma"": 7.637985878144529, ""ordinal"": 1070.8639743527442}"
39,148,1,"{""mu"": 30.898219514651252, ""sigma"": 7.701275968935856, ""ordinal"": 1387.0653985882484}"
39,73,2,"{""mu"": 28.05932127417742, ""sigma"": 7.561542276843994, ""ordinal"": 1328.9926666474905}"
39,20,3,"{""mu"": 33.73052642285398, ""sigma"": 7.588251439852819, ""ordinal"": 1463.1785304790924}"
39,169,4,"{""mu"": 27.788420228173393, ""sigma"": 7.53066058825675, ""ordinal"": 1324.7145231216755}"
40,99,1,"{""mu"": 36.31139897195028, ""sigma"": 7.802011494331326, ""ordinal"": 1509.7287477349512}"
40,101,2,"{""mu"": 31.83256850155549, ""sigma"": 7.582134865173469, ""ordinal"": 1418.0679337448419}"
40,80,3,"{""mu"": 26.801061482736507, ""sigma"": 7.45209929493037, ""ordinal"": 1306.6743263506896}"
40,176,4,"{""mu"": 29.086093315614267, ""sigma"": 7.523872194656796, ""ordinal"": 1356.347441559453}"
41,120,1,"{""mu"": 34.66482859487971, ""sigma"": 7.777256488262947, ""ordinal"": 1471.9934191221807}"
41,37,2,"{""mu"": 33.96597914325419, ""sigma"": 7.664424710572295, ""ordinal"": 1463.3449202768952}"
41,93,3,"{""mu"": 30.024327051302897, ""sigma"": 7.417279156062163, ""ordinal"": 1386.539749994794}"
41,171,4,"{""mu"": 27.773563322460966, ""sigma"": 7.4681431303298975, ""ordinal"": 1328.8592143553105}"
42,176,1,"{""mu"": 31.624879675642646, ""sigma"": 7.415038792407565, ""ordinal"": 1425.1143191620788}"
42,93,2,"{""mu"": 30.438044186120226, ""sigma"": 7.19401180961189, ""ordinal"": 1412.5442101748295}"
42,73,3,"{""mu"": 25.065087451675726, ""sigma"": 7.327667673179583, ""ordinal"": 1273.9700263712875}"
43,101,1,"{""mu"": 34.35427037821029, ""sigma"": 7.469529878961304, ""ordinal"": 1486.696337791833}"
43,20,2,"{""mu"": 33.767788638725605, ""sigma"": 7.346426831281641, ""ordinal"": 1481.4841954771364}"
43,171,3,"{""mu"": 25.291014082754167, ""sigma"": 7.262893011158245, ""ordinal"": 1284.0560411827064}"
44,80,1,"{""mu"": 29.51018656043291, ""sigma"": 7.3604550925852275, ""ordinal"": 1378.2917107842534}"
44,169,2,"{""mu"": 28.972992110254065, ""sigma"": 7.312912168355326, ""ordinal"": 1368.822134524514}"
44,37,3,"{""mu"": 29.873274871800007, ""sigma"": 7.4089840168340455, ""ordinal"": 1383.511747711149}"
45,101,1,"{""mu"": 36.65687713972456, ""sigma"": 7.353041165145941, ""ordinal"": 1550.3460874628815}"
45,176,2,"{""mu"": 30.27531878977797, ""sigma"": 7.190663000228218, ""ordinal"": 1408.8799149382396}"
45,80,2,"{""mu"": 28.60409642039877, ""sigma"": 7.150777914950135, ""ordinal"": 1371.6423042131607}"
46,101,1,"{""mu"": 38.8938964602612, ""sigma"": 7.29794096380817, ""ordinal"": 1608.0017656520806}"
46,148,2,"{""mu"": 32.675018693155884, ""sigma"": 7.581241823836115, ""ordinal"": 1438.3510373195409}"
46,99,3,"{""mu"": 35.70085041330692, ""sigma"": 7.560112450445423, ""ordinal"": 1512.4923134872956}"
46,120,4,"{""mu"": 30.956932205015214, ""sigma"": 7.546003826952193, ""ordinal"": 1399.6540973798074}"
47,114,3,"{""mu"": 24.757993504954904, ""sigma"": 8.067768931820451, ""ordinal"": 1213.3124810278453}"
47,145,2,"{""mu"": 26.67085759001896, ""sigma"": 8.171207669386824, ""ordinal"": 1251.7736299646037}"
47,93,1,"{""mu"": 32.404752064750184, ""sigma"": 7.146420483271587, ""ordinal"": 1463.1717747584503}"
47,30,4,"{""mu"": 20.932265334826795, ""sigma"": 8.067768931820451, ""ordinal"": 1121.4950049447707}"
48,176,2,"{""mu"": 31.104260427744066, ""sigma"": 7.089068401791876, ""ordinal"": 1436.0893253368424}"
48,55,4,"{""mu"": 21.05841092364801, ""sigma"": 8.072714223674087, ""ordinal"": 1124.166438063018}"
48,159,1,"{""mu"": 27.94387935975459, ""sigma"": 8.261910593258925, ""ordinal"": 1275.7955419194675}"
48,72,3,"{""mu"": 24.884418726858787, ""sigma"": 8.072714223674087, ""ordinal"": 1215.9906253400766}"
49,122,3,"{""mu"": 24.35692964424277, ""sigma"": 7.374685779198381, ""ordinal"": 1253.588935359543}"
49,148,1,"{""mu"": 34.78507979779077, ""sigma"": 7.517511266886941, ""ordinal"": 1493.5811039311188}"
49,116,2,"{""mu"": 26.705734619165028, ""sigma"": 8.167497493207534, ""ordinal"": 1252.8778113490182}"
49,131,4,"{""mu"": 20.879920735902445, ""sigma"": 8.060809687682726, ""ordinal"": 1120.7398001485026}"
50,45,4,"{""mu"": 20.996940393609233, ""sigma"": 8.07352751896859, ""ordinal"": 1122.6325880808831}"
50,69,2,"{""mu"": 26.71633432318142, ""sigma"": 8.175865923015028, ""ordinal"": 1252.5296772992722}"
50,150,3,"{""mu"": 24.809869679990694, ""sigma"": 8.07352751896859, ""ordinal"": 1214.1428909540382}"
50,20,1,"{""mu"": 35.69277628397931, ""sigma"": 7.291823209470835, ""ordinal"": 1531.6153597336033}"
51,120,1,"{""mu"": 32.92281157162538, ""sigma"": 7.433495299688432, ""ordinal"": 1454.935816141442}"
51,57,2,"{""mu"": 20.03210156953639, ""sigma"": 7.338095272645696, ""ordinal"": 1152.4275780383832}"
51,46,3,"{""mu"": 20.821557342842432, ""sigma"": 8.022273455432241, ""ordinal"": 1122.113687437097}"
52,101,3,"{""mu"": 34.60798671885369, ""sigma"": 7.127668494487371, ""ordinal"": 1517.3995496493978}"
52,92,2,"{""mu"": 27.146782906502157, ""sigma"": 8.089358288786979, ""ordinal"": 1269.0889929633893}"
52,4,1,"{""mu"": 28.44134890151016, ""sigma"": 8.22263423430993, ""ordinal"": 1290.5627087659288}"
